Point ID,vtkOriginalPointIds,Points_0,Points_1,Points_2,Points_Magnitude
106,106,737310,9.54925e+06,2600,9.57767e+06
107,107,737298,9.54924e+06,2600,9.57766e+06
108,108,737309,9.54923e+06,2600,9.57765e+06
109,109,737294,9.54921e+06,2600,9.57763e+06
110,110,737306,9.5492e+06,2600,9.57762e+06
111,111,737301,9.54919e+06,2600,9.57762e+06
112,112,737313,9.54918e+06,2600,9.57761e+06
113,113,737311,9.54918e+06,2600,9.5776e+06
114,114,737323,9.54917e+06,2600,9.5776e+06
115,115,737317,9.54916e+06,2600,9.57759e+06
116,116,737329,9.54916e+06,2600,9.57758e+06
117,117,737323,9.54915e+06,2600,9.57757e+06
118,118,737334,9.54914e+06,2600,9.57756e+06
119,119,737334,9.54914e+06,2600,9.57756e+06
120,120,737346,9.54913e+06,2600,9.57755e+06
121,121,737344,9.54912e+06,2600,9.57755e+06
122,122,737355,9.54912e+06,2600,9.57754e+06
123,123,737193,9.54891e+06,2600,9.57732e+06
124,124,737127,9.54895e+06,2600,9.57736e+06
125,125,737129,9.54912e+06,2600,9.57753e+06
126,126,737165,9.54931e+06,2600,9.57772e+06
127,127,737193,9.54934e+06,2600,9.57776e+06
128,128,737231,9.54939e+06,2600,9.57781e+06
129,129,737280,9.54935e+06,2600,9.57777e+06
130,130,737359,9.54929e+06,2600,9.57772e+06
131,131,737348,9.54928e+06,2600,9.5777e+06
132,132,737336,9.54929e+06,2600,9.57771e+06
133,133,737310,9.54925e+06,2600,9.57767e+06
